,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
btc_market_price,1.0,0.40531401747668444,0.9997982492812335,0.8663979841186411,0.6936500080173879,0.5589222012910817,-0.0836490426789524,0.5393106118733361,0.2747637543106958,0.9041875638221571,0.9006726601361164,0.9854031104430181,0.7788955147204906,-0.012414498641910252,0.8309426578775541,0.6611981667172594,0.5645407115885013,0.6985334318581469,0.5541859084241156,0.5655218989319918,0.1053195475996848,0.04490273773938521,0.9600155295078171
btc_total_bitcoins,0.40531401747668444,1.0,0.39773303305361973,0.30030046153796264,0.7802204535519263,0.8547506535278261,0.2716288557530869,0.8338659603936016,0.6710803728280545,0.4739378941276275,0.4837476384503456,0.39630039234609327,0.47342235642585073,-0.07073278619794504,0.3841297007866261,0.8242295184115177,0.8355013379488005,0.784217208193512,0.8175706834169566,0.803895570234861,0.2899808068591155,0.21128114058667538,0.3988403951846659
btc_market_cap,0.9997982492812335,0.39773303305361973,1.0,0.8669526661132777,0.692172557145276,0.5563974068407604,-0.08782499085573288,0.5368060267824153,0.2715122022393218,0.90590629207037,0.9023555406177991,0.9839901663574439,0.7787822033211508,-0.011904005823812402,0.8222439373866284,0.6579465800762915,0.5617119008828937,0.6968283824992854,0.5513732023057846,0.5629811549463463,0.10589300169832541,0.04529917344184878,0.9599323540760721
btc_trade_volume,0.8663979841186411,0.30030046153796264,0.8669526661132777,1.0,0.545803616612545,0.43440504945382236,-0.07581098790833742,0.42502394340889266,0.21237224783307743,0.7712845562281941,0.7650977717180387,0.8679127367306392,0.6990800878335841,-0.00882881801745811,0.7068294661043806,0.5370558920059295,0.4486032614812919,0.549726400454905,0.438015515935077,0.4481480064972609,0.09051196039256064,0.05145574363804413,0.8875076488066868
btc_blocks_size,0.6936500080173879,0.7802204535519263,0.692172557145276,0.545803616612545,1.0,0.9554185046495822,0.044026080417373645,0.9358964257722626,0.5018939006097758,0.8076142057267716,0.8204234392477893,0.6418704091320303,0.7317823457452556,-0.026882804430037897,0.48173015347339065,0.9598696278450234,0.9399092057327056,0.9997956436186954,0.9419043683428208,0.9526079329694341,0.24423480824369542,0.14748654891012855,0.6834148259222542
btc_avg_block_size,0.5589222012910817,0.8547506535278261,0.5563974068407604,0.43440504945382236,0.9554185046495822,1.0,0.13927196022217003,0.9740953309464344,0.5534891824349477,0.6648982093125481,0.6802549893947154,0.520797669226956,0.649222487184162,-0.03302383738488887,0.361896349275922,0.9664397263704001,0.9745070622592945,0.953758242717888,0.9728463316175195,0.9669784421892643,0.2912401608203153,0.1866226468803378,0.5643245703502813
btc_n_orphaned_blocks,-0.0836490426789524,0.2716288557530869,-0.08782499085573288,-0.07581098790833742,0.044026080417373645,0.13927196022217003,1.0,0.11059871154575153,0.06751019469455397,-0.09780843451284732,-0.09852483998434099,-0.05937232833321156,-0.09712133908090428,-0.014057790498956856,-0.0029398312023927137,0.11734681041552569,0.10441648375472691,0.04437851494678173,0.11212787335065683,0.06963729034849142,-0.00672117470417808,0.018008077536701347,-0.08617768954631931
btc_n_transactions_per_block,0.5393106118733361,0.8338659603936016,0.5368060267824153,0.42502394340889266,0.9358964257722626,0.9740953309464344,0.11059871154575153,1.0,0.561025021113201,0.6114148788188793,0.6311386631878951,0.5055230966483877,0.6714229974749603,-0.032466081809080276,0.32015161342480297,0.966198040633012,0.9806791028532765,0.9342114690090788,0.9763834683179023,0.9750268822119116,0.29603536524477714,0.18646711645269104,0.5641960792146602
btc_median_confirmation_time,0.2747637543106958,0.6710803728280545,0.2715122022393218,0.21237224783307743,0.5018939006097758,0.5534891824349477,0.06751019469455397,0.561025021113201,1.0,0.31582322779617317,0.3369942141596652,0.25006102093091104,0.4175710076849246,-0.049654597585905916,0.17892717833501234,0.5149623886886074,0.5466351870152455,0.5072070078813902,0.5119643286563461,0.5361652866784687,0.3065466540140427,0.2142342358252964,0.2839665480856427
btc_hash_rate,0.9041875638221571,0.4739378941276275,0.90590629207037,0.7712845562281941,0.8076142057267716,0.6648982093125481,-0.09780843451284732,0.6114148788188793,0.31582322779617317,1.0,0.9910851246959554,0.8536517465932751,0.7118681602704116,-0.01369747474756002,0.7278387725645042,0.7116800582007374,0.6387292614208727,0.8105009619701065,0.6331568901848758,0.6555613436992336,0.13709434665035067,0.06528690736577096,0.8431741733906425
